inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
CM1.csv pf,0.24561403508771928,0.21052631578947367,0.22807017543859648,0.2543859649122807,0.23684210526315788,0.2543859649122807,0.23684210526315788,0.22807017543859648,0.22807017543859648,0.24561403508771928,0.21052631578947367,0.22807017543859648,0.23684210526315788,0.23684210526315788,0.24561403508771928,0.2543859649122807,0.013010874538764327
CM1.csv pf,0.1134020618556701,0.09278350515463918,0.10309278350515463,0.08247422680412371,0.12371134020618557,0.1134020618556701,0.1134020618556701,0.09278350515463918,0.08247422680412371,0.09278350515463918,0.08247422680412371,0.09278350515463918,0.10103092783505155,0.0979381443298969,0.1134020618556701,0.12371134020618557,0.013676803259197526
CM1.csv pf,0.3888888888888889,0.37037037037037035,0.39814814814814814,0.3333333333333333,0.3888888888888889,0.32407407407407407,0.3888888888888889,0.4166666666666667,0.4166666666666667,0.4351851851851852,0.32407407407407407,0.37962962962962965,0.3861111111111111,0.3888888888888889,0.40740740740740744,0.4351851851851852,0.033653299713678246
CM1.csv pf,0.19444444444444445,0.21296296296296297,0.21296296296296297,0.23148148148148148,0.21296296296296297,0.2222222222222222,0.21296296296296297,0.2222222222222222,0.2777777777777778,0.23148148148148148,0.19444444444444445,0.21296296296296297,0.22314814814814815,0.2175925925925926,0.22685185185185186,0.2777777777777778,0.0208898410605157
CM1.csv pf,0.24242424242424243,0.21212121212121213,0.25252525252525254,0.25252525252525254,0.25252525252525254,0.23232323232323232,0.2222222222222222,0.24242424242424243,0.26262626262626265,0.2222222222222222,0.21212121212121213,0.22727272727272727,0.2393939393939394,0.24242424242424243,0.25252525252525254,0.26262626262626265,0.015680984541676803
CM1.csv pf,0.21359223300970873,0.2621359223300971,0.27184466019417475,0.30097087378640774,0.2621359223300971,0.2524271844660194,0.2524271844660194,0.27184466019417475,0.27184466019417475,0.2621359223300971,0.21359223300970873,0.25728155339805825,0.2621359223300971,0.2621359223300971,0.27184466019417475,0.30097087378640774,0.020822922902453606
CM1.csv pf,0.3142857142857143,0.29523809523809524,0.3333333333333333,0.3047619047619048,0.3047619047619048,0.34285714285714286,0.3142857142857143,0.3333333333333333,0.3142857142857143,0.3238095238095238,0.29523809523809524,0.30952380952380953,0.3180952380952381,0.3142857142857143,0.32857142857142857,0.34285714285714286,0.014253932901995961
CM1.csv pf,0.24509803921568626,0.21568627450980393,0.21568627450980393,0.23529411764705882,0.24509803921568626,0.23529411764705882,0.23529411764705882,0.20588235294117646,0.23529411764705882,0.22549019607843138,0.20588235294117646,0.22058823529411764,0.22941176470588237,0.23529411764705882,0.23529411764705882,0.24509803921568626,0.012555145563593818
CM1.csv pf,0.23423423423423423,0.24324324324324326,0.2702702702702703,0.2972972972972973,0.22522522522522523,0.21621621621621623,0.25225225225225223,0.27927927927927926,0.26126126126126126,0.26126126126126126,0.21621621621621623,0.23873873873873874,0.254054054054054,0.25675675675675674,0.26576576576576577,0.2972972972972973,0.02376739812301427
CM1.csv pf,0.14150943396226415,0.1320754716981132,0.1509433962264151,0.16981132075471697,0.16037735849056603,0.1509433962264151,0.16981132075471697,0.19811320754716982,0.16037735849056603,0.1792452830188679,0.1320754716981132,0.1509433962264151,0.16132075471698115,0.16037735849056603,0.16981132075471697,0.19811320754716982,0.018122049728583535
