inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
converted_JM1.csv pf,0.163515406162465,0.17752100840336135,0.1715686274509804,0.16561624649859943,0.15476190476190477,0.15721288515406162,0.15931372549019607,0.16806722689075632,0.17121848739495799,0.16946778711484595,0.15476190476190477,0.1614145658263305,0.1658263305322129,0.1668417366946779,0.17034313725490197,0.17752100840336135,0.006793438986734414
converted_JM1.csv pf,0.16843971631205673,0.17056737588652482,0.174822695035461,0.17198581560283688,0.17127659574468085,0.16453900709219857,0.17659574468085107,0.17375886524822695,0.15319148936170213,0.16276595744680852,0.15319148936170213,0.16648936170212764,0.16879432624113475,0.17092198581560283,0.1728723404255319,0.17659574468085107,0.0066284554542645575
converted_JM1.csv pf,0.1645127488648271,0.1774362556758645,0.17673768774013274,0.18092909535452323,0.164862032832693,0.18092909535452323,0.1774362556758645,0.16521131680055887,0.17499126790080335,0.1910583304226336,0.1645127488648271,0.1701012923506811,0.17541040866224242,0.1770869717079986,0.17918267551519385,0.1910583304226336,0.008062030876353862
converted_JM1.csv pf,0.17476769120800573,0.1590421729807005,0.15654038598999284,0.14438884917798428,0.1769120800571837,0.1522516082916369,0.16190135811293782,0.16154395997140814,0.15832737669764116,0.15832737669764116,0.14438884917798428,0.157433881343817,0.16040028591851324,0.15868477483917082,0.16172265904217298,0.1769120800571837,0.009114423435145107
converted_JM1.csv pf,0.17463617463617465,0.1864171864171864,0.1794871794871795,0.17844767844767845,0.18295218295218296,0.17394317394317393,0.18156618156618157,0.17532917532917533,0.183991683991684,0.17775467775467776,0.17394317394317393,0.17654192654192655,0.17945252945252943,0.17896742896742895,0.18225918225918225,0.1864171864171864,0.004003391288241457
converted_JM1.csv pf,0.17392819797838968,0.1606831648658069,0.16347159288950855,0.15894039735099338,0.15928895085395608,0.17113976995468805,0.16695712791913558,0.16730568142209828,0.16765423492506099,0.17462530498431508,0.15894039735099338,0.16207737887765772,0.16639944231439527,0.16713140467061693,0.16939700243987452,0.17462530498431508,0.005449486603330238
converted_JM1.csv pf,0.16746739876458477,0.1578586135895676,0.17604667124227866,0.1554564172958133,0.1602608098833219,0.18016472203157172,0.16197666437886069,0.16403568977350722,0.1578586135895676,0.151681537405628,0.151681537405628,0.1578586135895676,0.16328071379547016,0.1611187371310913,0.16575154426904598,0.18016472203157172,0.008552876345715358
converted_JM1.csv pf,0.17269217269217269,0.16848016848016847,0.18883818883818884,0.17023517023517024,0.171990171990172,0.16005616005616005,0.16602316602316602,0.16848016848016847,0.17093717093717092,0.17304317304317304,0.16005616005616005,0.16848016848016847,0.17107757107757107,0.1705861705861706,0.17234117234117236,0.18883818883818884,0.006956894252229719
converted_JM1.csv pf,0.16342817487855657,0.1568355308813324,0.16030534351145037,0.16134628730048578,0.16828591256072173,0.1578764746703678,0.1571825121443442,0.1599583622484386,0.16065232477446217,0.15857043719639138,0.1568355308813324,0.1582234559333796,0.1604441360166551,0.16013185287994447,0.16099930603747398,0.16828591256072173,0.0032445995079974956
converted_JM1.csv pf,0.14567474048442908,0.16885813148788928,0.16366782006920416,0.16678200692041523,0.1477508650519031,0.15363321799307958,0.1629757785467128,0.17162629757785466,0.1615916955017301,0.16505190311418685,0.14567474048442908,0.15761245674740484,0.16076124567474048,0.16332179930795848,0.16591695501730103,0.17162629757785466,0.00836655017838473
converted_KC3.csv pf,0.16666666666666666,0.12962962962962962,0.16666666666666666,0.14814814814814814,0.16666666666666666,0.14814814814814814,0.14814814814814814,0.12962962962962962,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1388888888888889,0.15370370370370373,0.14814814814814814,0.16666666666666666,0.2222222222222222,0.028748471659740784
