inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
arc.csv mcc,0.1,0.17677669529663687,0.03162277660168379,-0.0541943730952575,0.055873769533459273,0.11785113019775792,0.1,0.02054987341316966,-0.009626070358206488,0.11302430377243314,-0.0541943730952575,0.026086325007426726,0.06518781053616765,0.07793688476672964,0.10651215188621657,0.17677669529663687,0.06556885116581175
arc.csv mcc,0.21100829285820602,0.23841630902174835,-0.06388099077338605,0.34136385042651757,-0.010799637036049914,0.13707231622678737,0.25320201790755126,0.2434383702445252,0.26109968785231513,0.08977868973556957,-0.06388099077338605,0.11342550298117847,0.17006989064637845,0.22471230093997718,0.24832019407603823,0.34136385042651757,0.12298432116365468
arc.csv mcc,0.19306509314424722,-0.10704360482220941,0.019462473604038074,0.019462473604038074,-0.13028932666176193,-0.10704360482220941,-0.08941021220482383,0.0039246043326148705,0.03731758962665826,-0.12284731749059133,-0.13028932666176193,-0.10704360482220941,-0.028340183168999944,-0.04274280393610448,0.019462473604038074,0.19306509314424722,0.0971522907153233
arc.csv mcc,0.05376191573237332,0.0995004600613784,0.02750448125762587,0.18385954576559052,0.03744208639135378,0.04035123943257396,0.08267980478649069,0.06110447329687112,0.18385954576559052,0.11331846278141858,0.02750448125762587,0.04705657758247364,0.08833820152712667,0.0718921390416809,0.10640946142139848,0.18385954576559052,0.054369459638039866
arc.csv mcc,-0.0019748427532347733,0.051662831161228266,0.0858214417574062,0.0858214417574062,-0.08020407900996773,0.07219445735412179,0.010152415064552877,0.15161917840795253,-0.03628374971975311,0.006865593286685646,-0.08020407900996773,0.0024453752667254365,0.03456746873063979,0.03090762311289057,0.079007949555764,0.15161917840795253,0.06446263765456571
arc.csv mcc,-0.12029647976009777,0.05228051963449419,-0.0014968919368141226,-0.13110565838010918,0.13571910537036672,0.11071144485431442,-0.01019710676289738,0.03960458056083303,0.01753282508003999,-0.04849483251151826,-0.13110565838010918,-0.02934596963720782,0.004425750614861166,0.008017966571612934,0.04594255009766361,0.13571910537036672,0.08319129133703289
arc.csv mcc,0.1925681469618946,0.07399400733959437,0.0975085563016713,0.16497462012830405,0.12988428389433626,0.08532959805497126,0.15256338789078186,0.08198504323703198,0.16497462012830405,0.06336773488371944,0.06336773488371944,0.08365732064600162,0.12071499988206089,0.11369642009800378,0.15876900400954297,0.1925681469618946,0.043521642290698055
arc.csv mcc,-0.07278445978966995,0.04000347185235813,0.07364851698602654,0.1299455453213324,0.14600402725510767,0.044169285556167025,-0.057665456142773616,0.14600402725510767,0.1635718188410395,0.18252545823688265,-0.07278445978966995,0.04208637870426257,0.07954222353715781,0.10179703115367947,0.14600402725510767,0.18252545823688265,0.0859767505140377
arc.csv mcc,0.01716576010182491,0.02734708847141223,-0.11904761904761904,0.01716576010182491,-0.038277950117547636,0.049487165930539354,0.049487165930539354,-0.05612924607026461,-0.05612924607026461,0.01716576010182491,-0.11904761904761904,-0.04720359809390612,-0.009176536066773022,0.01716576010182491,0.02225642428661857,0.049487165930539354,0.05256067526606769
arc.csv mcc,0.09495377045310406,0.1636147879276881,0.11616161616161616,0.2172620473133704,0.09656090991705352,0.047692841321489654,0.11616161616161616,0.3686868686868687,0.09656090991705352,0.2172620473133704,0.047692841321489654,0.09656090991705352,0.15349174151732306,0.11616161616161616,0.19043841762052927,0.3686868686868687,0.08856305079393519
