inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
arc.csv pf,0.1375,0.1375,0.1625,0.15,0.1125,0.1875,0.1375,0.1,0.15,0.15,0.1,0.1375,0.1425,0.14375,0.15,0.1875,0.023184046238739257
arc.csv pf,0.14666666666666667,0.21333333333333335,0.17333333333333334,0.22666666666666666,0.25333333333333335,0.16,0.17333333333333334,0.24,0.17333333333333334,0.16,0.14666666666666667,0.16666666666666669,0.192,0.17333333333333334,0.22,0.25333333333333335,0.03587633079219656
arc.csv pf,0.1125,0.1,0.1125,0.15,0.125,0.0375,0.125,0.1125,0.1125,0.1125,0.0375,0.1125,0.11000000000000001,0.1125,0.11875,0.15,0.027271780286589286
arc.csv pf,0.1791044776119403,0.208955223880597,0.08955223880597014,0.22388059701492538,0.07462686567164178,0.1791044776119403,0.14925373134328357,0.07462686567164178,0.1791044776119403,0.23880597014925373,0.07462686567164178,0.11940298507462685,0.15970149253731344,0.1791044776119403,0.19402985074626866,0.23880597014925373,0.05782498694868811
arc.csv pf,0.06493506493506493,0.09090909090909091,0.12987012987012986,0.11688311688311688,0.12987012987012986,0.11688311688311688,0.15584415584415584,0.11688311688311688,0.03896103896103896,0.1038961038961039,0.03896103896103896,0.09740259740259741,0.10649350649350649,0.11688311688311688,0.12337662337662336,0.15584415584415584,0.03223291856101521
arc.csv pf,0.14285714285714285,0.16883116883116883,0.16883116883116883,0.14285714285714285,0.15584415584415584,0.11688311688311688,0.15584415584415584,0.19480519480519481,0.16883116883116883,0.18181818181818182,0.11688311688311688,0.14935064935064934,0.15974025974025974,0.16233766233766234,0.16883116883116883,0.19480519480519481,0.020981161586238334
arc.csv pf,0.1411764705882353,0.10588235294117647,0.12941176470588237,0.18823529411764706,0.12941176470588237,0.15294117647058825,0.18823529411764706,0.12941176470588237,0.15294117647058825,0.11764705882352941,0.10588235294117647,0.12941176470588237,0.14352941176470585,0.13529411764705884,0.15294117647058825,0.18823529411764706,0.026201244060376574
arc.csv pf,0.0958904109589041,0.136986301369863,0.1917808219178082,0.2054794520547945,0.1780821917808219,0.0958904109589041,0.1232876712328767,0.1232876712328767,0.136986301369863,0.0958904109589041,0.0958904109589041,0.1095890410958904,0.13835616438356163,0.13013698630136986,0.15753424657534246,0.2054794520547945,0.038478279192296266
arc.csv pf,0.11904761904761904,0.13095238095238096,0.17857142857142858,0.17857142857142858,0.14285714285714285,0.10714285714285714,0.16666666666666666,0.11904761904761904,0.17857142857142858,0.21428571428571427,0.10714285714285714,0.125,0.15357142857142855,0.15476190476190477,0.17857142857142858,0.21428571428571427,0.03301291577110011
arc.csv pf,0.10606060606060606,0.09090909090909091,0.10606060606060606,0.10606060606060606,0.07575757575757576,0.030303030303030304,0.030303030303030304,0.10606060606060606,0.15151515151515152,0.09090909090909091,0.030303030303030304,0.08333333333333334,0.08939393939393939,0.09848484848484848,0.10606060606060606,0.15151515151515152,0.03484848484848485
ivy-2.0.csv pf,0.16071428571428573,0.16071428571428573,0.20535714285714285,0.13392857142857142,0.19642857142857142,0.1875,0.16964285714285715,0.16071428571428573,0.15178571428571427,0.17857142857142858,0.13392857142857142,0.16071428571428573,0.1705357142857143,0.16517857142857145,0.1830357142857143,0.20535714285714285,0.020535714285714286
ivy-2.0.csv pf,0.15384615384615385,0.18803418803418803,0.21367521367521367,0.18803418803418803,0.23076923076923078,0.1452991452991453,0.1794871794871795,0.20512820512820512,0.19658119658119658,0.19658119658119658,0.1452991452991453,0.18376068376068377,0.18974358974358974,0.1923076923076923,0.20085470085470086,0.23076923076923078,0.02441513992664222
