inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
arc.csv precision,0.125,0.25,0.125,0.2222222222222222,0.375,0.6,0.3333333333333333,0.2222222222222222,0.23076923076923078,0.3333333333333333,0.125,0.2222222222222222,0.28168803418803423,0.2403846153846154,0.3333333333333333,0.6,0.1323388099325436
ivy-2.0.csv precision,0.07142857142857142,0.19047619047619047,0.19047619047619047,0.25,0.25,0.22727272727272727,0.09090909090909091,0.17391304347826086,0.12,0.14285714285714285,0.07142857142857142,0.13142857142857142,0.1707332956898174,0.18219461697722567,0.20887445887445888,0.25,0.06011412633564811
log4j-1.1.csv precision,0.5,0.6666666666666666,0.6428571428571429,0.6428571428571429,0.5294117647058824,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6,0.5882352941176471,0.5,0.5798319327731092,0.6074789915966387,0.6214285714285714,0.6547619047619048,0.6666666666666666,0.056907717723618766
redaktor.csv precision,0.4666666666666667,0.4375,0.5,0.375,0.3888888888888889,0.3888888888888889,0.47058823529411764,0.4,0.4375,0.38461538461538464,0.375,0.3888888888888889,0.4249648064353947,0.41875,0.45208333333333334,0.5,0.041371279619555376
synapse-1.1.csv precision,0.5,0.5217391304347826,0.5,0.4482758620689655,0.6,0.5,0.34615384615384615,0.56,0.5,0.47619047619047616,0.34615384615384615,0.4880952380952381,0.49523593148480705,0.5,0.5108695652173914,0.6,0.06384085308474924
