inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
arc.csv auc,0.53125,0.53125,0.5687500000000001,0.525,0.59375,0.55625,0.48125000000000007,0.6000000000000001,0.525,0.575,0.48125000000000007,0.528125,0.5487500000000001,0.54375,0.571875,0.6000000000000001,0.03477606935810889
arc.csv auc,0.6766666666666665,0.5361904761904761,0.6633333333333333,0.600952380952381,0.6233333333333333,0.67,0.5919047619047619,0.6300000000000001,0.5561904761904761,0.7057142857142856,0.5361904761904761,0.5964285714285715,0.6254285714285714,0.6266666666666667,0.6666666666666667,0.7057142857142856,0.05196161150594528
arc.csv auc,0.5346590909090909,0.45,0.4892045454545454,0.515909090909091,0.4829545454545454,0.5267045454545455,0.5284090909090909,0.5346590909090909,0.4892045454545454,0.4892045454545454,0.45,0.4892045454545454,0.5040909090909091,0.5025568181818182,0.5275568181818182,0.5346590909090909,0.026736924277760744
arc.csv auc,0.4559023066485753,0.5318860244233379,0.5006784260515603,0.5244233378561737,0.5081411126187245,0.5468113975576663,0.5162822252374492,0.55359565807327,0.5013568521031209,0.6078697421981004,0.4559023066485753,0.5047489823609227,0.5246947082767978,0.5203527815468114,0.5393487109905021,0.6078697421981004,0.03806955613886467
arc.csv auc,0.5091991341991341,0.49621212121212116,0.5183982683982684,0.48322510822510817,0.4767316017316017,0.48322510822510817,0.5054112554112554,0.5248917748917749,0.5638528138528139,0.5313852813852814,0.4767316017316017,0.48971861471861466,0.5092532467532467,0.5073051948051948,0.5216450216450217,0.5638528138528139,0.025291411257687565
arc.csv auc,0.4285714285714286,0.498917748917749,0.498917748917749,0.511904761904762,0.5054112554112554,0.5248917748917749,0.42207792207792205,0.485930735930736,0.498917748917749,0.40909090909090906,0.40909090909090906,0.4572510822510823,0.47846320346320353,0.498917748917749,0.5021645021645023,0.5248917748917749,0.039739251748527
arc.csv auc,0.6169117647058824,0.5720588235294117,0.5602941176470589,0.5933823529411765,0.5602941176470589,0.6110294117647059,0.5933823529411765,0.5602941176470589,0.6110294117647059,0.6286764705882353,0.5602941176470589,0.5661764705882353,0.5907352941176471,0.5933823529411765,0.6110294117647059,0.6286764705882353,0.02468048414391122
arc.csv auc,0.552054794520548,0.5315068493150685,0.5041095890410959,0.49726027397260275,0.560958904109589,0.602054794520548,0.5383561643835616,0.5883561643835616,0.4815068493150685,0.552054794520548,0.4815068493150685,0.5178082191780822,0.5408219178082192,0.5452054794520548,0.5565068493150684,0.602054794520548,0.036774125050393694
arc.csv auc,0.5404761904761904,0.4845238095238095,0.46071428571428574,0.46071428571428574,0.4785714285714286,0.5464285714285714,0.5166666666666667,0.5404761904761904,0.5107142857142857,0.4428571428571429,0.4428571428571429,0.46964285714285714,0.4982142857142858,0.4976190476190476,0.5285714285714286,0.5464285714285714,0.03583807910354847
arc.csv auc,0.5025252525252525,0.5656565656565656,0.5025252525252525,0.5580808080808081,0.6287878787878788,0.6515151515151515,0.5404040404040404,0.5580808080808081,0.5909090909090909,0.6212121212121211,0.5025252525252525,0.5492424242424243,0.571969696969697,0.5618686868686869,0.606060606060606,0.6515151515151515,0.04838017425656718
ivy-2.0.csv auc,0.6469155844155844,0.6469155844155844,0.6700487012987013,0.6603084415584416,0.6290584415584416,0.5880681818181819,0.6424512987012986,0.5560064935064934,0.6059253246753248,0.637987012987013,0.5560064935064934,0.6174918831168832,0.6283685064935065,0.6402191558441558,0.6469155844155844,0.6700487012987013,0.03331782781990297
ivy-2.0.csv auc,0.6105769230769231,0.687232905982906,0.6119123931623931,0.530982905982906,0.6658653846153846,0.5836004273504274,0.6290064102564102,0.5536858974358975,0.5892094017094017,0.6204594017094017,0.530982905982906,0.5864049145299146,0.6082532051282052,0.6112446581196581,0.624732905982906,0.687232905982906,0.04480418345669682
ivy-2.0.csv auc,0.6166666666666667,0.7140350877192981,0.625438596491228,0.6342105263157894,0.587719298245614,0.6631578947368422,0.6298245614035087,0.5789473684210527,0.6456140350877193,0.5675438596491229,0.5675438596491229,0.6021929824561403,0.6263157894736843,0.6276315789473683,0.6399122807017543,0.7140350877192981,0.04096406701107721
ivy-2.0.csv auc,0.707033639143731,0.6507645259938839,0.6978593272171253,0.6024464831804281,0.708256880733945,0.5874617737003057,0.6782874617737004,0.6645259938837921,0.5978593272171253,0.7311926605504587,0.5874617737003057,0.626605504587156,0.6625688073394496,0.6714067278287462,0.7024464831804281,0.7311926605504587,0.04883902154750853
ivy-2.0.csv auc,0.6365079365079365,0.7015873015873015,0.5817460317460317,0.6603174603174603,0.5865079365079364,0.5682539682539682,0.5769841269841269,0.5960317460317459,0.6888888888888889,0.6468253968253967,0.5682539682539682,0.584126984126984,0.6243650793650793,0.6162698412698412,0.6535714285714285,0.7015873015873015,0.046386224073798485
ivy-2.0.csv auc,0.564945652173913,0.6578804347826087,0.6673913043478261,0.6891304347826088,0.6317934782608696,0.74375,0.6839673913043478,0.6092391304347826,0.7073369565217391,0.6535326086956522,0.564945652173913,0.642663043478261,0.6608967391304348,0.6626358695652175,0.6865489130434783,0.74375,0.04814393055604864
ivy-2.0.csv auc,0.557563025210084,0.578781512605042,0.5451680672268908,0.4993697478991596,0.5453781512605042,0.5157563025210083,0.5369747899159664,0.5119747899159663,0.5621848739495798,0.5579831932773108,0.4993697478991596,0.5263655462184873,0.5411134453781512,0.5452731092436975,0.5577731092436975,0.578781512605042,0.023883893778761604
