inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
KC1.csv pf,0.16049382716049382,0.16049382716049382,0.16666666666666666,0.16049382716049382,0.16049382716049382,0.1574074074074074,0.07407407407407407,0.06790123456790123,0.16666666666666666,0.25617283950617287,0.06790123456790123,0.1589506172839506,0.1530864197530864,0.16049382716049382,0.16358024691358025,0.25617283950617287,0.04973255711002324
KC1.csv pf,0.6351791530944625,0.6351791530944625,0.2996742671009772,0.2996742671009772,0.23452768729641693,0.6156351791530945,0.6156351791530945,0.23778501628664495,0.6156351791530945,0.6351791530944625,0.23452768729641693,0.2996742671009772,0.48241042345276874,0.6156351791530945,0.6254071661237786,0.6351791530944625,0.17644653786777723
KC1.csv pf,0.6280487804878049,0.3353658536585366,0.3353658536585366,0.6280487804878049,0.2926829268292683,0.6280487804878049,0.6310975609756098,0.2926829268292683,0.6280487804878049,0.2926829268292683,0.2926829268292683,0.31402439024390244,0.46920731707317076,0.4817073170731707,0.6280487804878049,0.6310975609756098,0.16013761231531082
KC1.csv pf,0.375,0.375,0.375,0.375,0.375,0.34523809523809523,0.375,0.375,0.31845238095238093,0.375,0.31845238095238093,0.375,0.36636904761904765,0.375,0.375,0.375,0.018271482712108135
KC1.csv pf,0.07407407407407407,0.07407407407407407,0.2777777777777778,0.07407407407407407,0.32098765432098764,0.2993827160493827,0.07407407407407407,0.32098765432098764,0.2993827160493827,0.2993827160493827,0.07407407407407407,0.07407407407407407,0.21141975308641975,0.28858024691358025,0.2993827160493827,0.32098765432098764,0.11273039879994876
KC1.csv pf,0.2415902140672783,0.2415902140672783,0.6116207951070336,0.25076452599388377,0.24770642201834864,0.2415902140672783,0.24770642201834864,0.6116207951070336,0.6116207951070336,0.24770642201834864,0.2415902140672783,0.24464831804281345,0.3553516819571866,0.24770642201834864,0.4311926605504587,0.6116207951070336,0.1677937927778079
KC1.csv pf,0.3314121037463977,0.3314121037463977,0.3314121037463977,0.2507204610951009,0.3314121037463977,0.2420749279538905,0.3314121037463977,0.2478386167146974,0.3314121037463977,0.3314121037463977,0.2420749279538905,0.2910662824207493,0.3060518731988472,0.3314121037463977,0.3314121037463977,0.3314121037463977,0.03878838353519593
KC1.csv pf,0.2532894736842105,0.2532894736842105,0.25,0.5625,0.10197368421052631,0.25,0.25,0.2532894736842105,0.25,0.2532894736842105,0.10197368421052631,0.25,0.26776315789473687,0.25164473684210525,0.2532894736842105,0.5625,0.10791479274443701
KC1.csv pf,0.6589403973509934,0.076158940397351,0.24172185430463577,0.06291390728476821,0.076158940397351,0.5827814569536424,0.11258278145695365,0.39072847682119205,0.076158940397351,0.5827814569536424,0.06291390728476821,0.076158940397351,0.28609271523178803,0.17715231788079472,0.4867549668874172,0.6589403973509934,0.23240315741774642
KC1.csv pf,0.590625,0.315625,0.315625,0.44375,0.315625,0.259375,0.409375,0.09375,0.30625,0.409375,0.09375,0.3109375,0.34593749999999995,0.315625,0.409375,0.590625,0.12365724111935378
MW1.csv pf,0.06172839506172839,0.06172839506172839,0.07407407407407407,0.06172839506172839,0.06172839506172839,0.07407407407407407,0.08641975308641975,0.06172839506172839,0.07407407407407407,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.06790123456790123,0.06172839506172839,0.07407407407407407,0.08641975308641975,0.00828173324999922
MW1.csv pf,0.20481927710843373,0.1927710843373494,0.20481927710843373,0.14457831325301204,0.1927710843373494,0.1927710843373494,0.20481927710843373,0.1566265060240964,0.20481927710843373,0.20481927710843373,0.14457831325301204,0.1927710843373494,0.1903614457831325,0.19879518072289157,0.20481927710843373,0.20481927710843373,0.020728494619379822
MW1.csv pf,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.0
MW1.csv pf,0.12345679012345678,0.1111111111111111,0.12345679012345678,0.12345679012345678,0.12345679012345678,0.12345679012345678,0.12345679012345678,0.12345679012345678,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.11728395061728394,0.11975308641975309,0.12345679012345678,0.12345679012345678,0.12345679012345678,0.005657500857970173
MW1.csv pf,0.20253164556962025,0.21518987341772153,0.20253164556962025,0.25316455696202533,0.20253164556962025,0.25316455696202533,0.08860759493670886,0.20253164556962025,0.17721518987341772,0.25316455696202533,0.08860759493670886,0.20253164556962025,0.20506329113924054,0.20253164556962025,0.23417721518987344,0.25316455696202533,0.046267511094929284
