Feature,Weight
cam,59.53995540384494
cbo,53.13139511649573
ca,51.49809373366632
mfa,48.15550610641542
ce,42.59406751041373
moa,42.58060767904054
avg_cc,42.3439855513345
rfc,40.60550565385576
dam,37.63839840540612
amc,37.01428286397349
loc,31.471630663734565
cbm,29.406663994257958
lcom,28.916182613819807
lcom3,24.10767504428061
ic,22.24598389945676
npm,19.3401499132355
max_cc,9.526171586480444
