generation,fitness,num_features
0,0.13567080358624034,8
1,0.16524749067070238,8
2,0.16524749067070238,8
3,0.16524749067070238,8
4,0.16524749067070238,8
5,0.16524749067070238,8
6,0.16524749067070238,8
7,0.16524749067070238,8
8,0.16524749067070238,8
9,0.17481486943423669,6
10,0.17481486943423669,6
11,0.1769060764452962,7
12,0.1769060764452962,7
13,0.18481114147520994,7
14,0.18481114147520994,7
15,0.18481114147520994,7
16,0.1918542324776567,6
17,0.1918542324776567,6
18,0.1918542324776567,6
19,0.1918542324776567,6
