inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
ant-1.3.csv pf,0.3953488372093023,0.3953488372093023,0.3953488372093023,0.4883720930232558,0.3953488372093023,0.4418604651162791,0.4418604651162791,0.3953488372093023,0.3953488372093023,0.37209302325581395,0.37209302325581395,0.3953488372093023,0.4116279069767441,0.3953488372093023,0.41860465116279066,0.4883720930232558,0.032970806694785644
ant-1.3.csv pf,0.3333333333333333,0.3076923076923077,0.358974358974359,0.358974358974359,0.3076923076923077,0.3076923076923077,0.41025641025641024,0.38461538461538464,0.20512820512820512,0.38461538461538464,0.20512820512820512,0.3076923076923077,0.3358974358974359,0.34615384615384615,0.3717948717948718,0.41025641025641024,0.05552925084027619
ant-1.3.csv pf,0.23255813953488372,0.2558139534883721,0.27906976744186046,0.23255813953488372,0.18604651162790697,0.23255813953488372,0.3023255813953488,0.20930232558139536,0.23255813953488372,0.23255813953488372,0.18604651162790697,0.23255813953488372,0.2395348837209302,0.23255813953488372,0.2441860465116279,0.3023255813953488,0.031287497783892344
ant-1.3.csv pf,0.3170731707317073,0.2926829268292683,0.34146341463414637,0.34146341463414637,0.34146341463414637,0.34146341463414637,0.3170731707317073,0.2682926829268293,0.34146341463414637,0.3170731707317073,0.2682926829268293,0.3170731707317073,0.32195121951219513,0.32926829268292684,0.34146341463414637,0.34146341463414637,0.023897460905201746
ant-1.3.csv pf,0.36363636363636365,0.42424242424242425,0.3333333333333333,0.3939393939393939,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.24242424242424243,0.3939393939393939,0.24242424242424243,0.3333333333333333,0.35454545454545455,0.36363636363636365,0.3787878787878788,0.42424242424242425,0.04704295362503038
ant-1.3.csv pf,0.4,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4,0.43333333333333335,0.36666666666666664,0.4,0.5333333333333333,0.36666666666666664,0.4,0.44666666666666666,0.45,0.4666666666666667,0.5333333333333333,0.0541602560309064
ant-1.3.csv pf,0.4166666666666667,0.4722222222222222,0.4444444444444444,0.5,0.4444444444444444,0.3888888888888889,0.3888888888888889,0.4722222222222222,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.425,0.4305555555555556,0.4583333333333333,0.5,0.048192643258048534
ant-1.3.csv pf,0.24390243902439024,0.17073170731707318,0.2682926829268293,0.21951219512195122,0.3902439024390244,0.3170731707317073,0.2926829268292683,0.36585365853658536,0.34146341463414637,0.2926829268292683,0.17073170731707318,0.25609756097560976,0.2902439024390243,0.2926829268292683,0.32926829268292684,0.3902439024390244,0.0640214865775936
ant-1.3.csv pf,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.11764705882352941,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.11764705882352941,0.14705882352941177,0.14411764705882352,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.00882352941176471
ant-1.3.csv pf,0.30303030303030304,0.3333333333333333,0.3333333333333333,0.30303030303030304,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.30303030303030304,0.30303030303030304,0.3333333333333333,0.2727272727272727,0.28787878787878785,0.30303030303030304,0.30303030303030304,0.3181818181818182,0.3333333333333333,0.023472626340651014
