feature,weight
wmc,0.11540117978350267
dit,0.03961880761944694
noc,0.02913523395245013
cbo,0.07144401560907368
rfc,0.010320900716054864
lcom,0.03994349179534464
ca,0.041919328104237825
ce,0.04087242301186332
npm,0.0090084010582947
lcom3,0.044855082844609595
loc,0.038369180462513926
dam,0.033959865730669274
moa,0.09571074534382049
mfa,0.01709221446908079
cam,0.06643029381014186
ic,0.035523433542685966
cbm,0.040480038975505575
amc,0.0749200486498753
max_cc,0.05667194912614493
avg_cc,0.09832336539468343
