feature,weight
wmc,0.01958085581085444
dit,0.052977056406716634
noc,0.06733601226965712
cbo,0.058210864124455114
rfc,0.021947873571374236
lcom,0.02915386876048598
ca,0.06430321084195455
ce,0.096125251717045
npm,0.062381455035998165
lcom3,0.030863593486827573
loc,0.029167887961288445
dam,0.07638349311726206
moa,0.06468371197602468
mfa,0.03231740287457957
cam,0.05802587962272791
ic,0.02457814857900845
cbm,0.04818517376652336
amc,0.06463990223140105
max_cc,0.012838237654514896
avg_cc,0.08630012019130091
