feature,weight
wmc,0.07383394494807773
dit,0.07890743266705788
noc,0.017836825781837904
cbo,0.03639589978032352
rfc,0.006129526871753153
lcom,0.03787100993799985
ca,0.04762638541556957
ce,0.058442629391012774
npm,0.0826498464988884
lcom3,0.07679794081867873
loc,0.02374001237477925
dam,0.05999815528398662
moa,0.07489908310372756
mfa,0.04657195819845401
cam,0.0714825224372921
ic,0.012352677443677917
cbm,0.033828440817452336
amc,0.06292167269995266
max_cc,0.016235978517982152
avg_cc,0.08147805701149591
