inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
converted_EQ.csv precision,0.7,0.660377358490566,0.6909090909090909,0.6730769230769231,0.7222222222222222,0.6875,0.7115384615384616,0.7391304347826086,0.7307692307692307,0.7659574468085106,0.660377358490566,0.6892045454545455,0.7081481168597613,0.7057692307692307,0.7264957264957265,0.7659574468085106,0.03053697245759473
converted_JDT.csv precision,0.4691358024691358,0.5522388059701493,0.5142857142857142,0.5194805194805194,0.4880952380952381,0.527027027027027,0.5571428571428572,0.49382716049382713,0.45348837209302323,0.45,0.45,0.4786155202821869,0.502472149705749,0.5040564373897707,0.5232537732537732,0.5571428571428572,0.03611491896034441
converted_Lucene.csv precision,0.25,0.16666666666666666,0.16666666666666666,0.125,0.18421052631578946,0.2857142857142857,0.20689655172413793,0.2,0.16216216216216217,0.2647058823529412,0.125,0.16666666666666666,0.20120227416026498,0.19210526315789472,0.22844827586206895,0.2857142857142857,0.04857481801756058
converted_Mylyn.csv precision,0.2867132867132867,0.2662337662337662,0.2824427480916031,0.3233082706766917,0.2981366459627329,0.34507042253521125,0.31446540880503143,0.27450980392156865,0.2714285714285714,0.3228346456692913,0.2662337662337662,0.27847627600658587,0.2985143570037755,0.29242496633800985,0.3186500272371614,0.34507042253521125,0.025254142858842706
converted_PDE.csv precision,0.25961538461538464,0.29523809523809524,0.25742574257425743,0.3,0.26262626262626265,0.28448275862068967,0.28846153846153844,0.26548672566371684,0.31666666666666665,0.2962962962962963,0.25742574257425743,0.2640564941449898,0.2826299470762908,0.286472148541114,0.2957671957671958,0.31666666666666665,0.019241495083925118
