inputfile,min,lower,avg,median,upper,max,variance
CM1.csv,0.38461538461538464,0.5384615384615384,0.6615384615384615,0.6923076923076923,0.8269230769230769,0.8461538461538461,0.16569737868106169
KC1.csv,0.3829787234042553,0.46808510638297873,0.5361702127659573,0.5053191489361701,0.5398936170212766,0.8085106382978723,0.11886364019968869
MW1.csv,0.0,0.25,0.3625,0.375,0.375,0.75,0.22672946434021318
PC1.csv,0.5,0.6944444444444444,0.7888888888888889,0.8333333333333333,0.8888888888888888,0.9444444444444444,0.14444444444444443
PC3.csv,0.55,0.6875,0.7350000000000001,0.7375,0.7937500000000001,0.875,0.08888194417315587

